"Priority","Organization","Project","Type","Subsidy","Matching","Total","Start_date","End_date","State","Region","Geocoding_round","county","city_name","postal_code","lat_coords","long_coords","LAU1_CODE","LAU1_NAME"
"P3","Wales Council for Voluntary Action","Third Sector European Team ESF Competitiveness","ESF",112083,0,203791,"07/2008","12/2015","Wales","Wales","First","Cardiff","Cardiff","CF10","51.4651864","-3.1677197","UKL2207","Cardiff"
"P1","Cardiff University","LCRI","ERDF",18232250,0,32557589,"09/2009","08/2015","Wales","Wales","First","Cardiff","Cardiff","CF10 3XQ","51.4657448","-3.1936342","UKL2207","Cardiff"
"P2","Wales Council for Voluntary Action","WCVA ILM Convergence","ESF",8797569,0,17228156,"10/2008","03/2015","Wales","Wales","First","Cardiff","Cardiff","CF10","51.4651864","-3.1677197","UKL2207","Cardiff"
"P4","Constructing Excellence in Wales","Green Compass Scheme","ERDF",207335,0,357509,"03/2010","07/2012","Wales","Wales","First","Cardiff","Cardiff","CF24 0AD","51.4854668","-3.1648339","UKL2207","Cardiff"
"P3","Cardiff University","Built Environment Sustainability Training","ESF",4499941,0,7925363,"04/2012","09/2015","Wales","Wales","First","Cardiff","Cardiff","CF10 3XQ","51.4657448","-3.1936342","UKL2207","Cardiff"
"P3","Skillset Cymru","Skills for the Digital Economy - Creative Media Industries","ESF",2623475,0,4200311,"02/2011","06/2015","Wales","Wales","First","Cardiff","Cardiff","CF10 5LH","51.4663749","-3.1667728","UKL2207","Cardiff"
"P4","Tidal Energy Limited","DeltaStream Demonstration Stage 2","ERDF",7992966,0,11515583,"06/2011","12/2015","Wales","Wales","First","Cardiff","Cardiff","CF23 8RS","51.5407516","-3.1354147","UKL2207","Cardiff"
"P2","Computeraid Limited","Business ICT for SME Principals (BICT2)","ESF",219804,0,367088,"02/2011","08/2013","Wales","Wales","First","Cardiff","Cardiff","CF24 5EY","51.478755","-3.1591993","UKL2207","Cardiff"
"P4","Cardiff University","Sustainable Building Envelope Demonstration","ERDF",1810364,0,2999925,"12/2011","07/2015","Wales","Wales","First","Cardiff","Cardiff","CF10 3XQ","51.4657448","-3.1936342","UKL2207","Cardiff"
"P2","SOVA","Increasing BME Employment, Tackling BME Economic Inactivity","ESF",1574405,0,1919772,"09/2011","04/2015","Wales","Wales","First","Cardiff","Cardiff","CF10 1FE","51.477266","-3.1767157","UKL2207","Cardiff"
"P1","Cardiff Council","Novus","ESF",1148898,0,1879695,"07/2013","12/2014","Wales","Wales","First","Cardiff","Cardiff","CF10","51.4837155","-3.1785615","UKL2207","Cardiff"
"P2","Carmarthenshire County Council","SW Wales Local Investment Fund","ERDF",8973599,0,20157324,"07/2008","06/2015","Wales","Wales","First","Carmarthenshire","Carmarthen","SA31 1JP","51.8555591","-4.305246","UKL1409","Carmarthenshire"
"P3","Carmarthenshire County Council","BWCABUS","ERDF",1719247,0,3491852,"12/2008","05/2015","Wales","Wales","First","Carmarthenshire","Carmarthen","SA31 1JP","51.8555591","-4.305246","UKL1409","Carmarthenshire"
"P5","Carmarthenshire County Council","Collaborative Communities","ERDF",4142890,0,5686833,"07/2009","01/2015","Wales","Wales","First","Carmarthenshire","Carmarthen","SA31 1JP","51.8555591","-4.305246","UKL1409","Carmarthenshire"
"P3","Carmarthenshire County Council","South West Wales Property Development Fund","ERDF",14001451,0,27646811,"07/2009","06/2015","Wales","Wales","First","Carmarthenshire","Carmarthen","SA31 1JP","51.8555591","-4.305246","UKL1409","Carmarthenshire"
"P3","Carmarthenshire County Council","Cross Hands East Strategic Employment Site","ERDF",6750001,0,10473485,"04/2009","06/2015","Wales","Wales","First","Carmarthenshire","Carmarthen","SA31 1JP","51.8555591","-4.305246","UKL1409","Carmarthenshire"
"P5","Carmarthenshire County Council","Carmarthenshire Physical Regeneration Package","ERDF",2944162,0,10964395,"08/2009","11/2015","Wales","Wales","First","Carmarthenshire","Carmarthen","SA31 1JP","51.8555591","-4.305246","UKL1409","Carmarthenshire"
"P4","Carmarthenshire County Council","Regional Learning Partnership, South West Wales, P4","ESF",942063,0,1743139,"12/2009","12/2013","Wales","Wales","First","Carmarthenshire","Carmarthen","SA31 1JP","51.8555591","-4.305246","UKL1409","Carmarthenshire"
"P5","Carmarthenshire County Council","The Works","ERDF",5159516,0,15016648,"01/2010","12/2014","Wales","Wales","First","Carmarthenshire","Carmarthen","SA31 1JP","51.8555591","-4.305246","UKL1409","Carmarthenshire"
"P5","Carmarthenshire Heritage Regeneration Trust","Llanelly House","ERDF",2512391,0,6321926,"10/2009","03/2015","Wales","Wales","First","Carmarthenshire","Llanelli","SA15 3UF","51.6835133","-4.1610745","UKL1409","Carmarthenshire"
"P2","The Princes Trust","Princes Trust Enterprise Programme Conv P2","ESF",1144031,0,1578727,"04/2008","12/2014","Wales","Wales","First","Carmarthenshire","Llanelli","SA15","51.6820738","-4.163613","UKL1409","Carmarthenshire"
"P1","The Princes Trust","Princes Trust Enterprise Programme RCE P1","ESF",384601,0,732490,"04/2008","12/2014","Wales","Wales","First","Carmarthenshire","Llanelli","SA15","51.6820738","-4.163613","UKL1409","Carmarthenshire"
