"Priority","Organization","Project","Type","Subsidy","Matching","Total","Start_date","End_date","State","Region","Geocoding_round","county","city_name","postal_code","lat_coords","long_coords"
"P2","The Moray Council","Glenlivet Mountain Bike Trails","ERDF","178466","N/A","446167","N/A","N/A","Scotland","Highland and Islands","Second","Moray","Forres","IV36","57.6498476","-3.3168039"
"P2","The Moray Council","Knockando Woolmill","ERDF","1099289","N/A","2464221","N/A","N/A","Scotland","Highland and Islands","Second","Moray","Forres","IV36","57.6498476","-3.3168039"
"P3","The Moray Council","Dufftown and Rothes Learning Centres","ERDF","108764","N/A","271909","N/A","N/A","Scotland","Highland and Islands","Second","Moray","Forres","IV36","57.6498476","-3.3168039"
"P3","The Moray Council","West Moray Rural Action Plan","ERDF","237495","N/A","593738","N/A","N/A","Scotland","Highland and Islands","Second","Moray","Forres","IV36","57.6498476","-3.3168039"
"P3","Ekopia Resource Exchange Ltd","Whins Eco-Offices","ERDF","60720","N/A","151800","N/A","N/A","Scotland","Highland and Islands","Second","Moray","Forres","IV36","57.659165","-3.6075877"
"P1","Scottish Enterprise","H&I Scottish Co-Investment Fund","ERDF","2057532","N/A","5143829","N/A","N/A","Scotland","Highland and Islands","First","Moray","Forres","IV36 2AB","57.6150653","-3.5722124"
"P1","Scottish Enterprise","Scottish Investment Bank Loan Fund - HIE Area 2010-2","ERDF","2000000","N/A","5000000","N/A","N/A","Scotland","Highland and Islands","First","Moray","Forres","IV36 2AB","57.6150653","-3.5722124"
"P1","Scottish Enterprise","Marine Energy R&D Fund","ERDF","1521331","N/A","3803327","N/A","N/A","Scotland","Highland and Islands","First","Moray","Forres","IV36 2AB","57.6150653","-3.5722124"
"P3","Caledonian Maritime Assets Ltd","Hybrid RORO Ferry","ERDF","369158","N/A","1476633","N/A","N/A","Scotland","Highland and Islands","Second","Inverclyde","Port Glasgow","PA14","55.9352336","-4.6879624"
"P3","Pulteneytown People's Project","Community & Regeneration Centre for Wick","ERDF","875091","N/A","2861258","N/A","N/A","Scotland","Highland and Islands","Second","Highland","Wick","KW1 5BA","58.4347385","-3.0855308"
