"Priority","Organization","Project","Type","Subsidy","Matching","Total","Start_date","End_date","State","Region","Geocoding_round","county","city_name","postal_code","lat_coords","long_coords"
"P1","Glasgow Clyde College","The 4As - Attendance, Attitude, Achivement and Ambition 2009","ESF","89051","N/A","222626","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G12","55.8861642","-4.3194459"
"P1","Glasgow Clyde College","Employment Pathways for Speakers of Other Languages","ESF","226507","N/A","566268","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G12","55.8861642","-4.3194459"
"P1","Glasgow Clyde College","Community Based Skills for Employment II","ESF","387464","N/A","968658","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G12","55.8861642","-4.3194459"
"P1","Glasgow Clyde College","Get Set Glasgow!","ESF","162425","N/A","397775","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G12","55.8861642","-4.3194459"
"P1","Glasgow Clyde College","Flexible Futures for the Service Sector in Scotland","ESF","154187","N/A","371797","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G12","55.8861642","-4.3194459"
"P1","Glasgow Clyde College","New Scots: Language and Skills for Employment","ESF","123582","N/A","310582","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G12","55.8861642","-4.3194459"
"P1","Glasgow Clyde College","SkillsGAP Programme","ESF","120353","N/A","290223","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G12","55.8861642","-4.3194459"
"P1","Glasgow Clyde College","Opening Employability Options 2009","ESF","132986","N/A","309270","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G12","55.8861642","-4.3194459"
"P1","Glasgow Clyde College","Supported Pathways 2009","ESF","138486","N/A","322061","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G12","55.8861642","-4.3194459"
"P1","Glasgow Clyde College","Get Set Glasgow 2010!","ESF","165562","N/A","407952","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G12","55.8861642","-4.3194459"
"P1","Glasgow Clyde College","The Flexible Futures for the Service Sector in Scotland 2010","ESF","152625","N/A","374075","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G12","55.8861642","-4.3194459"
"P1","Glasgow Clyde College","SkillsGAP 2010","ESF","118641","N/A","290521","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G12","55.8861642","-4.3194459"
"P1","Glasgow Clyde College","New Scots: Language and Skills for Employment 2010","ESF","119429","N/A","316429","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G12","55.8861642","-4.3194459"
"P1","Glasgow Clyde College","Education_Employment Pathway for Speakers of Other Languages","ESF","227318","N/A","607209","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G12","55.8861642","-4.3194459"
"P1","Glasgow Clyde College","Community Based Engagement & Training Skills for Employment2","ESF","421566","N/A","1053915","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G12","55.8861642","-4.3194459"
"P1","Glasgow Clyde College","Supported Pathways 2010","ESF","145531","N/A","338445","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G12","55.8861642","-4.3194459"
"P1","Glasgow Clyde College","Opening Employability Options 2010","ESF","143844","N/A","319655","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G12","55.8861642","-4.3194459"
"P1","Glasgow Clyde College","Building Glasgow's Young People 2010 - 2011","ESF","624991","N/A","1388868","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G12","55.8861642","-4.3194459"
"P1","Glasgow College of Nautical Studies","Routes to Employability","ESF","68876","N/A","153057","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G1","55.8629288","-4.24658"
"P1","Glasgow College of Nautical Studies","Positive Pathways to Employment","ESF","107324","N/A","268309","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G1","55.8629288","-4.24658"
"P1","Glasgow Council for the Voluntary Sector","Work in Progress","ESF","57019","N/A","171968","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G4 9AS","55.8712014","-4.2709946"
"P1","Glasgow Kelvin College","Pathways to Employability","ESF","168204","N/A","480583","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G21 4TD","55.879811","-4.2293712"
